,Unnamed: 0,title,내용,내용1(응답),description,태그,날짜,조회수,link
1194,1194,전세사기 변호사 선임,안녕하세요갭투자 컨설팅 회사로 인해 계약한 집주소로 전세대출 및 담보 대출 진행을 하였었는데 현재 전세사기 조사는 받았으나 이번 주중에 담보대출 진행한 개인대부업체에서 공문서위조로 고소장 소송예정인데 고소장이 들어가면 바로 영장발부 되어 체포하러 오나요? 아니면 연락으로 조사 받으러 오라고 하여 바로 수감 되나요? 준비를 좀 하고싶어 변호사 상담 요청 합니다 ㅜ ㅜ ㅜ,"         안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 권희영 변호사입니다.​1. 대부업체가 공문서를 위조한 혐의로 현재 고소장을 경찰에 제출한 상태인가요?​​2. 해당 고소장이 경찰에 접수가 되면,경찰에 고소인이 출석하여 해당 고소장을 진술하고,경찰은 해당 내용을 바탕으로 피고소인을 소환하여 조사를 하게 됩니다.​(고소장이 접수된다고 바로 체포영장이 발부되지는 않아요)​​​권희영 변호사 드림.     ",안녕하세요 갭투자 컨설팅 회사로 인해 계약한 집주소로 전세대출 및 담보 대출 진행을 하였었는데 현재 <b>전세사기</b> 조사는 받았으나 이번 주중에 담보대출 진행한 개인대부업체에서 공문서위조로 고소장 소송예정인데 고소장이 들어가면... ,"재판, 소송 절차",2022.09.26,179.0,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60211&docId=429166943&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
5,5,갭투자 담보대출 공문서위조,갭투자 건물로 전입세대열람 위조 후 대출 받았는데요공문서위조로 고소 전인데 합의가 가능하면고소장 접수는 안하신다고 하는데 도와주실 변호사님 안 계실까요?,"         안녕하세요. 로시컴-네이버 지식iN 상담변호사 이현중 입니다.​질문자가 공문서인 주민등록 전입세대 열람원을 위조하신 후, 이를 금융기관 등에 제시한 행위에 대하여는 공문서위조죄, 공문서행사죄가, 위조된 공문서를 제시하는 방법으로 금융기관 등 대출 심사자를 기망하여 대출을 받은 행위에 대하여는 사기죄가 각 성립할 수 있습니다. 위 죄들은 합의를 하여도 처벌을 받을 수 있는 범죄에 해당합니다. 혼자서 합의를 진행하시는 것보다는, 변호사에게 구체적인 사실관계에 대한 검토를 받으신 후, 상담을 거쳐 합의를 진행하시는 것이 안전하겠습니다. 변호사에게 합의 진행만을 위임하시는 방법도 가능하니 참고하시기 바랍니다.      ",<b>갭투자</b> 건물로 전입세대열람 위조 후 대출 받았는데요 공문서위조로 고소 전인데 합의가 가능하면 고소장 접수는 안하신다고 하는데 도와주실 변호사님 안 계실까요?  안녕하세요. 로시컴-네이버 지식iN 상담변호사 이현중 입니다.... ,"재판, 소송 절차",2022.09.22,98.0,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60211&docId=428865871&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
554,554,전셋집 경매관련 문의입니다,"빌라 5층에 전세를 살고 있습니다. 최근 황당한 일이 있어 문의 올립니다. 일단 2012년 6월 1억에 전세계약을 하고 살기 시작했습니다. 계약할때 등기부등본 확인하여 저당잡힌것들 다 없앤것을 확인하고 계약했구요 2년 계약했지만 집주인이 더 있어달라하여 계속 사고 있던중 올초 경매된다는 통지서가 날라왔습니다. 황당하여 여기저기 알아보고 집주인에게도 전화를 해봤으나 집주인은 연락이 되질 않고 있는 상태입니다. 일단 경매가 된다니 권리신청인가? 암튼 그걸 해놨는데 저당잡고있는 마을금고에서 연락이 계속 와서는 월세사는거 아니냐고 묻길래 전세라고 했습니다. 몇달뒤 경매는 저희집 평가가 1억2천 나왔는데 1순위인 제가 1억, 2순위인 마을금고가 오천, 3순위인 대부업체가 2천몇백 이렇게 되어있는데 경매신청을 3순위인 대부업체가 신청한거라서 경매는 진행이 되질 않았구요 그럼 여기서 평가액 1억2천인 집에 어떻게 2순위인 마을금고에서 5천만원이나 빌려주었나  하는건데 얼마전 검찰에서 참고인 조사받으러 오라해서 알게되었습니다. 검사님의 얘길들어보니 집주인이 전세계약서를 월세계약으로 공문서 위조하여 은행에 제출해서 대출을 받았더군요 집주인은 저와 연락도 되질 않는 상황이고... 저는 어떻게 해야할지 모르겠습니다. 질문입니다. 1. 전세살고있는사람이 경매를 신청할수 있다고 들었는데 절차가 궁굼합니다. 2. 경매신청하여 제가 1억에 낙찰받을경우 2순위인 마을금고와 3순위인 대부업체는 돈을 못받는것인지 제가 줘야하는것인지.. 궁굼합니다. 3. 그외에 제가 어떻게 하면 좋을지 알려주시면 감사드리겠습니다 ㅠㅠ","질문자입장에서는 처음 겪는 일이겠지만흔히 있는 전형적인 대출사기사건입니다.바지 집주인 명의로 주택을 구입또는 분양받은 후  대금은   전세보증금 받아치루고임차인 현황조사가 허술한  새마을 금고나 단위농협을 상대로가짜 월세계약서를 가지고 추가로 사기대출을  받은 전형적인 사기수법입니다....답변입니다. 결과는 아주 단순한데  절차나 과정이 좀 복잡합니다.1. 전세살고있는사람이 경매를 신청할수 있다고 들었는데 절차가 궁굼합니다.지금당장  경매신청을 할수 있으나   얼마안있어  경매신청이  취소되기에 무의미합니다.경매신청비용만  이중으로 들수 있습니다.자세히 설명하자면  해당주택이 타 채권자에 의해 경매신청되었다는 점에서이론상 이는  임대인이 담보가치를 훼손하였음을 이유로 질문자 역시 경매신청이 가능합니다하지만   채권자들의 채권은 질문자보다 후 순위이고   질문자의 보증금이 1억 그리고 감정가가 1억2천이라면이번 매각기일에  1억우너이상에 매각되지 않는다면해당경매사건은   무잉여라 하여 취소 됩니다,,,무잉여로 취소된다면 법원의 입장에서는 경매가 취소되었기에  질문자의 보증금은  즉 담보가치는 더이상    훼손된것이 아니므로  질문자가  타 채권자의 경매신청을 이유로 경매신청했다해도  이 역시 취소가 됩니다...      따라서 현재의 상태에서 경매신청을 한다면  괜히 경매신청비용만 날립니다. 만일  현재의 상태에서 질문자에게 경매신청을 권유하는 사람이 있다면그 사람 역시 사기꾼일 가능성이 높습니다.2. 경매신청하여 제가 1억에 낙찰받을경우 2순위인 마을금고와 3순위인 대부업체는 돈을 못받는것인지 제가 줘야하는것인지.. 궁굼합니다.  질문자가 경매신청을 하고자 한다면  형식적으로나마  임차보증금반환청구 소송을 거쳐 확정판결을 받아  이에 기초하여   경매신청을 해야 합니다... 이헐게 경매신청을 한후 질문자가 1억원에 낙찰받았다면   마을금고와 대부업체의돈은 변제하지 않아도  됩니다.변제할 이유가 없습니다,3. 그외에 제가 어떻게 하면 좋을지 알려주시면 감사드리겠습니다 ㅠㅠ님이 하셔야 하셔야 할일은   지금이라도 당장 형식적으로나마  임대보증금 반환청구의 소장을 접수하고판결을 받아 강제경매신청하는 것이 좋습니다...질문자 같은 사례는 사실 비일비재한대   문제는  임차인이  소송이 번거롭다하여뒤로 미루다가   몇년후 집값이 오르면   임대인이 그때 타인에게  매도하거나  은행이나 대부업체가다시 경매를 진행시키는 경우가 종종 있습니다.내용이 뻔한 사건이라  변호사를 선임해서 소송하기 보단 질문자가 직접 처리할수 있는 사건이라 판단되며  소송을 할지 말지는   질문자가 결정할  사안입니다...",... <b>바지 집주인</b> 명의로 주택을 구입또는 분양받은 후 대금은 전세보증금 받아치루고 임차인 현황조사가 허술한 새마을 금고나 단위농협을 상대로 가짜 월세계약서를 가지고 추가로 사기대출을 받은 전형적인 사기수법입니다....... ,경매,2015.10.02,1049.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40204&docId=235531311&qb=67CU7KeA7KeR7KO87J24&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
60,60,갭투자 명의,제가 갭투자로 100만원을 받고 명의만 빌려주고 그 빌라에는임대인이 살고있고 대출도 받은상태입니다그래도 담보대출을 받을수 있을까요?,"         제가 갭투자로 100만원을 받고 명의만 빌려주고 그 빌라에는 임대인이 살고있고 대출도 받은상태입니다그래도 담보대출을 받을수 있을까요?​---> 님의 명의로 소유권이 되어 있다면 자유롭게 담보대출을 받을 수가 있겟지만 진짜 소유자와 문제가 생길소지가 있을 것이고, 현 거주자는 임차인으로 간주가 될 것이므로 대출가능 금액에서 보증금 정도를 차감하고나면 별 여유가 없어서 대출이 불가능 할 수도 있겠지요.     ",제가 <b>갭투자</b>로 100만원을 받고 명의만 빌려주고 그 빌라에는 임대인이 살고있고 대출도 받은상태입니다 그래도... 제가 <b>갭투자</b>로 100만원을 받고 명의만 빌려주고 그 빌라에는 임대인이 살고있고 대출도 받은상태입니다 그래도... ,임대차,2021.07.13,678.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=394523597&qb=6rCt7Yis7J6Q&enc=utf8&section=kin.qna&rank=61&search_sort=0&spq=0
1240,1240,"전세사기를 당했는데, 방향성을 못잡겠습니다.",1. 9월19일 경찰서로부터 집주인이 바뀌었고 새 집주인이 사기로 구속되었다는 사실을 알게되었습니다. (9월 19일에 집주인 변경된 것 확인)2. 확인해보니 제가 계약했던 집주인이 6월 경 새집주인에게 집을 팔았고 새 집주인이 친 전세사기 100채 중 한곳인것을 알게되었습니다.3. 8월에 이전 집주인과 집수리 문제로 통화했으나 관련된 내용은 일절 없었습니다.4. 새 집주인은 집문서를 월세로 위조하여 대부업체에 대출을 받았으며 현재 대부업체에 가등기가 걸려있는 상태입니다.* 집 계약 승계 거부하고 전 집주인에게 보증금 반환 받을 수 있을지. 또는* 현 집주인에게 고소해야 할지 (이미 구속되어있는 상태) 어떤 방향으로 고소를 진행해야 보증금 반환에 더 유리할지 궁금합니다.  관련태그: 임대차,"# 법무법인 제민 | 하경남 변호사 # [변호사 프로필보기] | [더 많은 변호사 답변 보기] # 질문글 원문 링크 < 클릭  1. 대항력 있는 주택임대차에 있어 임차인은 임대인의 지위승계를 원하지 않는 경우 상당한 기간 내에 이의를 제기하고 승계를 부정할 수 있습니다. 이러한 경우 이전 집주인이 여전히 보증금 반환 의무를 지게 됩니다. 2. 새 집주인이 보증금을 반환할 자력이 없고 예전 집주인이 자력이 있는 경우 승계를 부정하고 전 집주인을 상대로 보증금 반환 청구를 하는 것이 유리합니다. 3. 건물 가액과 우선변제권 순위 등을 확인해보셔서 해당 주택이 경매되었을 때 보증금을 다 받을 수 있으면 경매절차에서 배당을 받으시면 됩니다.  # 지식iN 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다.  # 로톡은 법무법인이나 법률사무소가 아니며, 법률사무를 제공하지 않습니다. 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접, 독립적으로 수행합니다.  - 변호사와 의뢰인을 더 가까이, 로톡",... 확인해보니 제가 계약했던 집주인이 6월 경 새집주인에게 집을 팔았고 새 집주인이 친 <b>전세사기</b> 100채 중 한곳인것을 알게되었습니다. 3. 8월에 이전 집주인과 집수리 문제로 통화했으나 관련된 내용은 일절 없었습니다. 4. 새 집주인은... ,"법학, 법이론",2022.09.26,88.0,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=429165787&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=55&search_sort=0&spq=0
1295,1295,"전세사기를 당했는데, 방향성을 못잡겠습니다.",1. 9월19일 경찰서로부터 집주인이 바뀌었고 새 집주인이 사기로 구속되었다는 사실을 알게되었습니다. (9월 19일에 집주인 변경된 것 확인)2. 확인해보니 제가 계약했던 집주인이 6월 경 새집주인에게 집을 팔았고 새 집주인이 친 전세사기 100채 중 한곳인것을 알게되었습니다.3. 8월에 이전 집주인과 집수리 문제로 통화했으나 관련된 내용은 일절 없었습니다.4. 새 집주인은 집문서를 월세로 위조하여 대부업체에 대출을 받았으며 현재 대부업체에 가등기가 걸려있는 상태입니다.* 집 계약 승계 거부하고 전 집주인에게 보증금 반환 받을 수 있을지. 또는* 현 집주인에게 고소해야 할지 (이미 구속되어있는 상태) 어떤 방향으로 고소를 진행해야 보증금 반환에 더 유리할지 궁금합니다.  관련태그: 임대차,"# 법무법인 제민 | 하경남 변호사 # [변호사 프로필보기] | [더 많은 변호사 답변 보기] # 질문글 원문 링크 < 클릭  1. 대항력 있는 주택임대차에 있어 임차인은 임대인의 지위승계를 원하지 않는 경우 상당한 기간 내에 이의를 제기하고 승계를 부정할 수 있습니다. 이러한 경우 이전 집주인이 여전히 보증금 반환 의무를 지게 됩니다. 2. 새 집주인이 보증금을 반환할 자력이 없고 예전 집주인이 자력이 있는 경우 승계를 부정하고 전 집주인을 상대로 보증금 반환 청구를 하는 것이 유리합니다. 3. 건물 가액과 우선변제권 순위 등을 확인해보셔서 해당 주택이 경매되었을 때 보증금을 다 받을 수 있으면 경매절차에서 배당을 받으시면 됩니다.  # 지식iN 변호사 답변은 로톡과 네이버의 콘텐츠 제휴를 통해 변호사가 직접 정확하고 신뢰할 수 있는 답변을 전달해 드립니다.  # 로톡은 법무법인이나 법률사무소가 아니며, 법률사무를 제공하지 않습니다. 모든 법률상담은 로톡을 이용하는 각 변호사 회원이 직접, 독립적으로 수행합니다.  - 변호사와 의뢰인을 더 가까이, 로톡",... 확인해보니 제가 계약했던 집주인이 6월 경 새집주인에게 집을 팔았고 새 집주인이 친 <b>전세사기</b> 100채 중 한곳인것을 알게되었습니다. 3. 8월에 이전 집주인과 집수리 문제로 통화했으나 관련된 내용은 일절 없었습니다. 4. 새 집주인은... ,"법학, 법이론",2022.09.26,88.0,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=429165787&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=53&search_sort=0&spq=0
476,476,빌라 매매를 컨설팅 회사를 통해 계약했습니다. 그... ,잘 팔리지 않아 인터넷에 올렸는데 컨설팅 회사에서 연락이 와서 매매를 맡겼고 전세와 매매를 맡아서 진행 해 주기로 했습니다. 전세 계약이 되었고 부동산개발용역 컨설팅계약서를 작성하였습니다. 수수료로 전세가 대비 20%넘는 금액이 책정되어 있습니다.이런 부분이 법적으로 하자가 없는건지 궁금합니다.   그리고 전세 계약 잔금이 들아왔을때 컨설팅 비용을 지급 안하면 어떻게 되는지도 궁금합니다. 감사합니다.  ,         *컨설팅은 무자격자라서 중개 행위를 못합니다 *글고/컨설팅수수료는 성과보고서를 받으셔냐 비용을 지불합니다     ,... 그리고 전세 계약 잔금이 들아왔을때 컨설팅 비용을 지급 안하면 어떻게 되는지도 궁금합니다. 감사합니다.  *컨설팅은 <b>무자격자</b>라서 <b>중개</b> 행위를 못합니다 *글고/컨설팅수수료는 성과보고서를 받으셔냐 비용을 지불합니다,매매,2022.05.06,245.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=418830963&qb=66y07J6Q6rKp7J6QIOykkeqwnA==&enc=utf8&section=kin.qna&rank=46&search_sort=0&spq=0
376,376,이중계약 계약불이행 사기,10년간 살던집(100평)이 개발되면서 개발사업자는 저희집의 땅을 매수하고 개발되고 주택부지 100평을 50프로 할인된 금액으로 팔기로 분양계약서를 썼습니다그러나 개발되고 나서 저에게 분양하지 않고서다른 지인에게 계약을 쳤다고 말했습니다그래서 변호사를 선임하여 사기죄로 고소장을 날렸습니다어떻게 알았는지 고소해서 힘빼지 말라고합니다(고소장 날린 경찰서에 아는사람이 많다고 합니다)원래 주기로한땅 주겠다 기존 계약자의 위약금을 낼수 있겠냐 라고 질문하자 내가 왜 위약금을 내냐고 미쳤냐고 계속 이런식으로 장난질하면 전화 끊겠다고 하니갑자기 알았다 위약금 없이 주기로 한땅을 주겠답니다근데 여기서 궁금한게 있습니다 제가 선임한 변호사는 우선 계약서를 처음부터 지킬생각이 없었다는 것으로 사기죄 하나 그리고 피고소인 지인에게 동일한 땅에대한 이중계약을 썻다는 것으로 두가지로 고소장을 날렸는데요피고소인은 자기는 그땅을 저에게 다시 주면 사기도 아니고 이중계약도 아니고 아무문제도 없다고 말하는데 너무 뻔뻔합니다물건을 훔치고 다시 돌려주면 괜찮아지는거냐 제가 되물으니웃으면서 땅장사 하루이틀 해보는것도 아니고 힘빼지 말고 그냥 땅 사가라고 합니다 저는 알았다 그러면 내가 변호사비용 썼으니 그 비용 줘라 그럼 사겠다고 하니 또 그건 안된다고 합니다 이거 어떻게 대응해야하는건가요?,         안녕하세요. 로시컴-네이버 지식iN 상담변호사 박성현 입니다.​계약서를 직접 보지 못해서 정확하게 답변드릴 수는 없지만 이중계약 부분은 원래 100평 부동산을 매도한 부분과 합쳐서 사기 미수 또는 사기죄에 포함되어 처벌될 수 있을 것으로 보입니다. ​변호사비용 부분은 만약 위 사기죄로 고소한 부분에 대하여 유죄 혹은 약식명령 판결이 확정된 이후에 별도로 민사소송으로 불법행위에 기한 손해배상 청구를 한다면 전액은 아니더라도 일정 부분 배상을 받을 수도 있어보입니다.​보다 자세한 상담은 02-3495-2829로 연락주시기 바랍니다.     ,... 지인에게 <b>동일</b>한 땅에대한 <b>이중계약</b>을 썻다는 것으로 두가지로 고소장을 날렸는데요 피고소인은 자기는 그땅을... 아니고 <b>이중계약</b>도 아니고 아무문제도 없다고 말하는데 너무 뻔뻔합니다 <b>물건</b>을 훔치고 다시 돌려주면... ,사기,2021.05.10,149.0,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=602060402&docId=389358783&qb=64+Z7J2866y86rG0IOydtOykkeqzhOyVvQ==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
1092,1092,월세보증금담보대출 상담 가능하나요,지금 살고 있는 집이 월세인데 보증금이 2천만원이거든요이걸 담보로 월세보증금담보대출을 알아보고 있는데 어디가 믿을만한지 알려주세요전세보증금으로만 가능한줄 알았는데 월세보증금담보대출도 있다고 하더라구요집 주인은 몰랐으면 하는데 그런것도 가능한지 알려주시면 감사하겠습니다,"         월세보증금담보대출 상담 알아보시네요.주인 동의 필요없이 계약서 확인만으로 대출 가능하고기존대출, 직업, 신용에 관계없이 대출 가능한곳이 있어 알려드려요중도상황수수료 없고 무방문 대출신청, 당일 송금도 가능해요​본인명의의 전월세 거주자라면, 주부나 프리랜서 등도 대출한 가능한 전월세 보증금대출입니다!(단, 연체자나 신용불량자는 대출 불가)대출자격으로는 전월세 본인명의 임대차 보증금 1,000만원 이상, 잔여기간 6개월 이상이고 아파트, 오피스텔, 빌라, 다세대, 다가구, 단독주택, 임대아파트, 상가주택이면 됩니다만 20세~만 65세 이하 직장인, 사업자, 연금소득자등 소득증빙 가능자 무직자, 주부 가능대출한도는 최소 100만원 ~ 최대 1억원까지 가능해요​무조건 가능하다는말 절대 믿지마시고 위의 자격요건 해당되시면부담없이 무료 상담 받아보시고 잘 해결하시길 바래요^^              전월세보증금대출 전월세보증금대출 ad.cpaad.co.kr            업체로부터 본 답변을 통한 소정의 대가를 받을 수 있음을 밝힙니다     ",... 감사하겠습니다  <b>임대인</b>분 모르게 가능도 하십니다. 잔여기간 6개월이상 남으시면 가능하세요 자세한... 본인인증을 가장한 <b>악성</b>앱이 설치되면 금융사 대표번호로 전화해도 사기꾼이 받습니다. 보이스피싱이 의심된다면 지체... ,부동산담보대출,2021.08.11,299.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010501&docId=396944810&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=43&search_sort=0&spq=0
1104,1104,전세금담보대출 질문드립니다.,전세금 담보대출 질문드립니다전세금이 1억 4500인데요집을 매매를 했는데 현재 전세방이 안빠져서최악의 경우에는 전세금 담보대출을 받으려 합니다현대 캐피탈 상담해보니제가 법인명의집에 살아서 담보대출을 거부받았는데법인명의일때여도 대출이 가능한 상품을 취급하는 은행이나 제2금융권이 있는지궁금합니다도와주세요,"         대출의 경우 필요한도나 주택유형, 신용등급과 직군등상황에 따라 맞는 상품이 달라질 수 있습니다.상담 받아보신다면 적합한 대출 이용하시는데 도움이 되리라 봅니다.기타 궁금하신 점이 있거나 문의사항이 있으시면, 추가질문 해 주시면 친절하게 답변드리도록하겠습니다...​대출을 빌미로 보험,상조 가입을 요구하거나 불법수수료를 요구하는 행위는 불법입니다​     ",... 도와주세요  <b>임대인</b>이 법인명의시면 은행이나 2금융권은 어렵습니다. 법인명의실때는 대부쪽만 가능하세요.... 본인인증을 가장한 <b>악성</b>앱이 설치되면 금융사 대표번호로 전화해도 사기꾼이 받습니다. 보이스피싱이 의심된다면... ,부동산담보대출,2021.05.26,543.0,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010501&docId=390696861&qb=7JWF7ISx7J6E64yA7J24&enc=utf8&section=kin.qna&rank=55&search_sort=0&spq=0
